2i2c,2i2c
archipelago commons,archipelago commons
archival resource key,archival resource key
arxiv,arxiv 
biorxiv,biorxiv
brcris,brcris
coar notify,coar notify
contentdm,contentdm
core,core.ac.uk
counter code of practice,counter code of practice
creative commons licenses,creative commons licenses
crossref,crossref
datacite,datacite
dataverse,dataverse
directory of open access books (doab),directory of open access books
directory of open access books (doab),doab
directory of open access journals (doaj),directory of open access journals
directory of open access journals (doaj),doaj
dokieli,dokieli
dryad,dryad
dspace,dspace
eduid.africa,eduid.africa
eprints,eprints
érudit,érudit
érudit,erudit
europe pmc,europe pmc
fedora,fedora
figshare,figshare
fulcrum,fulcrum
handle system,handle system
humanities commons,humanities commons
hyku,hyku
igsn,igsn
iiif,iiif
invenio rdm,invenio rdm
islandora,islandora
janeway,janeway
journal article tag suite,journal article tag suite
jupyter notebook,jupyter notebook
kotahi,kotahi
la referencia,la referencia
medrxiv,medrxiv
mendeley data,mendeley data
mirador,mirador
mukurtu,mukurtu
o portal brasileiro de publicações e dados científicos em acesso aberto (the brazilian open access publications and scientific data portal) (oasisbr),o portal brasileiro de publicações e dados científicos em acesso aberto
o portal brasileiro de publicações e dados científicos em acesso aberto (the brazilian open access publications and scientific data portal) (oasisbr),the brazilian open access publications and scientific data portal
o portal brasileiro de publicações e dados científicos em acesso aberto (the brazilian open access publications and scientific data portal) (oasisbr),oasisbr
oa switchboard,oa switchboard
oai-pmh,oai-pmh
oai-pmh,open archives initiative
oapen library,oapen library
oapen library,oapen
omeka,omeka
open journal systems (ojs),open journal systems
open journal systems (ojs),ojs
open monograph press (omp),open monograph press
open preprint systems (ops),open preprint systems
public knowledge project,public knowledge project
openalex,openalex
opencitations,opencitations
openedition,openedition
orcid,orcid
osf (open science framework),open science framework
osf (open science framework),osf
overleaf,overleaf
oxford common file layout,oxford common file layout
pandoc,pandoc
peer community in,peer community in
plaudit,plaudit
prereview,prereview
pressbooks,pressbooks
public access submission system,public access submission system
pubmed central,pubmed central
pubpub,pubpub
redalyc,redalyc
research organization registry (ror),research organization registry
review commons,review commons
rogue scholar,rogue scholar
scielo network,scielo network
"sherpa services (sherpa romeo, sherpa juliet and opendoar)",sherpa services
"sherpa services (sherpa romeo, sherpa juliet and opendoar)",sherpa romeo
"sherpa services (sherpa romeo, sherpa juliet and opendoar)",sherpa juliet
"sherpa services (sherpa romeo, sherpa juliet and opendoar)",opendoar
the doi system,the doi system
the lens,the lens
tind institutional repository,tind institutional repository
tind research data management,tind research data management
transpect,transpect
vivli,vivli
vufind,vufind
zenodo,zenodo
zotero,zotero
