2i2c,2i2c.org
Archipelago Commons,archipelago.nyc
Archival Resource Key (ARK),arks.org
arXiv,arxiv.org
bioRxiv,biorxiv.org
BrCRIS,brcris.ibict.br
COAR Notify,coar-repositories.org
ContentDM,oclc.org
CORE,core.ac.uk
COUNTER Code of Practice,projectcounter.org
Creative Commons Licenses,creativecommons.org
Crossref,crossref.org
DataCite,datacite.org
Dataverse,dataverse.org
Directory of Open Access Books (DOAB),doabooks.org
Directory of Open Access Journals (DOAJ),doaj.org
dokieli,dokie.li
Dryad,datadryad.org
DSpace,dspace.lyrasis.org
eduID.africa,eduid
EPrints,eprints.org
Érudit,erudit.org
Europe PMC,europepmc.org
Fedora,fedora.lyrasis.org
Figshare,figshare.com
Fulcrum,fulcrum.org
Handle System,dona.net/handle-system
Humanities Commons,hcommons.org
Hyku,hyku.samvera.org
IGSN,igsn.org
IIIF,iiif.io
Invenio RDM,inveniosoftware.org/products/rdm/
Islandora,www.islandora.ca
Janeway,janeway.systems
Journal Article Tag Suite (JATS),jats.niso.org
Jupyter Notebook,jupyter.org
Kotahi,kotahi.community
LA Referencia,lareferencia.info
Manifold,manifoldapp.org
medrXiv,www.medrxiv.org
Mendeley Data,data.mendeley.com
Mirador,projectmirador.org
Mukurtu,mukurtu.org
O Portal Brasileiro de Publicações e Dados Científicos em Acesso Aberto (The Brazilian Open Access Publications and Scientific Data Portal) (Oasisbr),oasisbr.ibict.br
OA Switchboard,oaswitchboard.org
OAI-PMH,openarchives.org
OAPEN Library,oapen.org
Omeka,omeka.org
Public Knowledge Project,pkp.sfu.ca
OpenAlex,openalex.org
OpenCitations,opencitations.net
OpenEdition,openedition.org
ORCID,orcid.org
OSF (Open Science Framework),osf.io
Overleaf,overleaf.com
Oxford Common File Layout (OCFL),ocfl.io
Pandoc,pandoc.org
Peer Community In,peercommunityin.org
Plaudit,plaudit.pub
PREreview,prereview.org
Pressbooks,pressbooks.com
Public Access Submission System (PASS),projects.eclipse.org/projects/technology.pass
PubMed Central,ncbi.nlm.nih.gov/pmc
PubPub,pubpub.org
Redalyc,redalyc.org
Research Organization Registry (ROR),ror.org
Review Commons,reviewcommons.org
Rogue Scholar,rogue-scholar.org
SciELO Network,scielo.org
"Sherpa Services (Sherpa Romeo, Sherpa Juliet and OpenDOAR)",sherpa.ac.uk
The DOI System,doi.org
The Lens,lens.org
TIND,tind.io
Transpect,transpect.github.io
Vivli,vivli.org
VuFind,vufind.org
Zenodo,zenodo.org
Zotero,www.zotero.org
