2i2c,^2i2c| 2i2c
archipelago commons,archipelago commons
archival resource key,archival resource key
arxiv,^arxiv| arxiv
biorxiv,biorxiv
brcris,brcris
core,core.ac.uk|core (connecting repositories)|core (research service)
counter code of practice,counter code of practice
creative commons licenses,creative commons licenses
crossref,crossref
datacite,datacite
dataverse,dataverse
directory of open access books (doab),directory of open access books|^doab | doab 
directory of open access journals (doaj),directory of open access journals|doaj
dokieli,dokieli
dryad,dryad
dspace,^dspace| dspace
eduid.africa,eduid.africa|eduid africa
érudit,érudit| erudit |^erudit 
europe pmc,europe pmc|europe pubmed central
fedora,fedora
fulcrum,fulcrum
humanities commons,humanities commons
hyku,hyku
iiif,iiif
invenio rdm,invenio rdm
islandora,islandora
janeway,janeway
journal article tag suite,journal article tag suite
la referencia,la referencia
manifold,manifoldapp.org|manifoldapp
medrxiv,medrxiv
mendeley data,mendeley data
mirador,mirador
mukurtu,mukurtu
o portal brasileiro de publicações e dados científicos em acesso aberto (the brazilian open access publications and scientific data portal) (oasisbr),o portal brasileiro de publicações e dados científicos em acesso aberto|the brazilian open access publications and scientific data portal|oasisbr
oa switchboard,oa switchboard
oapen library,oapen
omeka,^omeka| omeka
open journal systems (ojs),open journal systems| ojs |^ojs 
open monograph press (omp),open monograph press
open preprint systems (ops),open preprint systems
public knowledge project,public knowledge project
openalex,openalex
opencitations,opencitations
openedition,openedition
osf (open science framework),open science framework| osf |^osf 
oxford common file layout,oxford common file layout
peer community in,peer community in
prereview,prereview
pressbooks,pressbooks
public access submission system,public access submission system
pubpub,pubpub
research organization registry (ror),research organization registry| ror |^ror 
rogue scholar,rogue scholar
"sherpa services (sherpa romeo, sherpa juliet and opendoar)",sherpa services|sherpa romeo|sherpa juliet|opendoar
vufind,vufind
zenodo,zenodo
